B3SA3	ITUB4	PETR4	BBDC4	PETR3	ABEV3	MGLU3	WEGE3	BBAS3	ITSA4	JBSS3	SUZB3	VALE3	NTCO3	LREN3	GNDI3	RENT3	LAME4	VVAR3	BBDC3	EQTL3	RAIL3	RADL3	BTOW3	VIVT4	UGPA3	BPAC11	GGBR4	SBSP3	BBSE3	BRFS3	KLBN11	BRDT3	CCRO3	HAPV3	HYPE3	SULA11	COGN3	CSAN3	TIMP3	ELET3	ENGI11	EGIE3	TOTS3	SANB11	CMIG4	BRAP4	IRBR3	YDUQ3	CSNA3	BRML3	ELET6	QUAL3	CRFB3	FLRY3	MRFG3	AZUL4	CYRE3	BRKM5	MULT3	GOAU4	EMBR3	CIEL3	MRVE3	ENBR3	CPFE3	USIM5	BEEF3	CVCB3	IGTA3	GOLL4	ECOR3	HGTX3
42.16	34.68	24.96	30.09	27.61	20.18	36.19	24.09	46.3	12.14	26.14	30.4	45.4	32.64	49.75	44.6	41.11	17.74	8.44	27.03	18.75	22.0	93.99	34.82	50.72	18.58	62.03	12.84	53.33	28.57	34.61	14.75	26.04	15.46	43.14	30.97	45.31	12.9	50.23	12.31	40.28	48.4	45.09	16.26	40.92	12.94	28.69	29.84	33.91	14.27	14.65	39.13	19.76	22.93	22.49	7.51	53.12	24.23	31.1	28.07	6.23	19.5	7.84	20.77	19.71	32.14	7.91	8.83	51.01	47.78	39.64	11.54	33.52
43.99	34.86	25.69	30.24	28.26	19.73	37.02	24.22	46.64	12.26	26.19	31.1	46.09	32.45	50.21	46.84	42.53	17.83	8.53	27.18	18.89	22.78	91.36	36.85	50.86	18.91	63.48	13.26	54.98	29.79	36.32	15.08	26.25	15.55	44.28	30.44	46.4	13.0	51.72	12.26	41.82	49.52	45.19	17.55	42.05	13.41	29.18	29.2	33.91	14.62	14.68	40.05	19.73	22.85	22.84	7.68	54.55	24.9	30.39	27.89	6.51	19.6	7.61	21.72	20.01	32.12	8.22	9.08	51.8	48.06	40.13	11.68	34.18
44.16	34.6	25.62	29.74	28.02	19.63	37.66	23.96	46.49	12.2	26.8	30.46	44.44	32.81	50.15	46.99	42.16	19.01	8.53	26.62	19.24	22.9	91.5	43.39	50.03	18.89	63.44	13.16	55.99	30.67	38.16	14.88	26.54	15.68	44.15	31.02	45.96	13.27	52.22	12.01	42.72	50.11	45.53	18.49	41.52	13.5	28.93	30.06	33.81	14.33	15.12	40.99	26.96	23.11	22.91	7.8	55.47	24.35	30.22	27.78	6.4	19.55	7.65	20.39	20.06	32.01	8.03	9.05	56.6	47.97	40.71	11.89	34.28
42.93	33.17	25.0	29.12	27.26	19.06	36.3	23.53	44.92	11.77	28.34	30.84	44.11	31.93	49.5	46.47	41.51	18.47	8.28	26.0	18.87	22.47	89.42	42.5	49.51	18.56	61.72	12.8	56.1	29.91	38.63	14.79	26.45	15.21	44.04	30.12	45.21	13.05	51.02	11.87	41.44	49.33	44.9	18.01	40.89	13.43	28.32	29.62	32.9	14.2	14.93	39.78	25.84	22.71	22.94	8.08	54.3	23.58	30.09	27.73	6.26	19.43	7.46	20.23	19.87	31.8	7.89	8.74	54.89	46.92	37.78	11.63	34.15
44.51	33.82	25.31	29.41	27.54	18.96	37.73	24.06	45.44	12.07	27.34	32.65	45.42	32.93	49.94	46.49	42.51	18.48	8.46	26.31	19.2	22.95	89.9	43.67	49.89	18.35	63.26	13.14	56.1	30.24	39.0	15.28	26.45	15.69	44.0	30.25	44.64	12.85	50.33	11.9	42.04	49.53	45.57	17.99	41.06	13.72	29.09	30.32	33.16	14.65	14.93	39.65	25.03	22.99	23.43	7.9	53.55	23.85	30.76	28.01	6.49	19.5	7.57	19.45	19.87	31.78	8.1	8.64	54.72	47.14	38.24	12.1	34.21
42.41	33.07	24.45	28.83	26.69	18.6	36.83	22.88	43.85	11.91	26.73	32.06	43.84	31.89	48.2	45.94	41.65	17.69	8.11	25.62	18.7	21.97	87.54	43.54	48.93	17.99	61.59	12.58	54.4	29.63	38.0	14.64	26.31	15.29	45.99	29.85	43.65	11.37	47.58	11.73	39.64	48.55	43.92	17.94	39.83	13.41	28.35	30.31	31.59	14.05	14.54	37.93	24.35	22.44	22.95	7.82	50.97	23.01	29.94	27.31	6.18	18.36	7.45	18.58	19.37	31.2	7.71	8.29	54.35	45.8	36.53	11.64	33.57
42.07	32.98	23.78	28.63	26.1	18.37	36.19	22.15	43.82	11.96	27.97	31.84	42.87	31.98	47.94	46.26	41.07	17.46	7.6899999999999995	25.49	18.6	22.17	86.73	41.43	49.34	16.47	61.07	12.16	51.18	29.38	38.16	14.57	25.89	15.28	47.05	29.21	43.14	10.71	47.53	11.48	38.93	47.97	43.14	17.66	39.89	13.04	27.85	30.02	31.02	13.6	14.39	38.04	23.82	22.25	22.17	7.77	50.56	22.3	29.47	26.73	6.03	18.05	7.34	17.96	18.96	30.63	7.37	8.24	52.96	45.18	35.84	11.61	32.39
43.19	33.11	23.46	28.69	25.98	18.49	37.44	22.59	43.7	12.01	28.44	32.04	42.68	31.64	49.26	47.24	42.52	17.81	7.12	25.55	19.15	23.2	88.07	41.81	50.52	16.1	60.68	12.55	51.04	29.5	38.57	14.53	26.97	15.61	48.89	30.95	44.29	10.68	48.55	11.88	39.94	48.9	42.95	17.53	40.13	13.44	27.59	30.72	30.83	13.8	14.36	38.93	24.67	22.35	22.98	7.74	50.47	22.91	28.79	26.69	6.21	18.0	7.27	17.66	19.32	31.19	7.23	8.23	53.15	45.5	35.11	11.93	32.41
44.16	32.97	23.58	28.28	26.34	18.69	37.71	22.34	42.84	11.8	28.25	31.93	42.64	31.54	49.1	47.08	42.3	17.58	6.73	25.13	19.06	23.04	88.81	41.62	50.04	15.47	63.0	12.21	51.12	29.42	38.26	14.42	27.18	15.54	47.63	30.79	43.7	10.75	48.56	11.78	39.22	48.18	42.95	17.55	39.83	13.64	27.23	30.33	30.7	13.57	14.05	38.65	24.25	22.37	22.65	7.65	49.83	22.62	28.22	26.79	6.07	17.95	7.2	17.37	19.22	30.97	7.0	8.23	53.71	45.06	35.03	11.75	32.41
44.41	32.6	23.57	28.0	26.09	18.53	36.41	22.4	42.8	11.61	27.99	31.15	42.82	31.07	49.0	47.84	41.85	17.7	7.06	24.87	18.9	23.18	89.43	42.9	50.7	15.46	64.68	12.26	51.43	29.36	37.89	14.29	27.7	16.24	48.68	30.54	43.87	11.09	47.72	11.64	38.63	47.43	42.15	17.67	39.28	13.65	27.5	30.34	32.1	14.06	14.06	38.49	24.67	22.76	23.15	7.64	49.68	22.25	27.49	26.34	6.13	18.0	7.53	17.09	18.83	31.01	7.2	8.09	54.0	45.21	35.53	12.06	31.85
44.47	32.85	24.97	28.56	27.48	18.39	36.42	22.85	45.25	11.76	28.59	30.4	43.13	31.33	49.82	48.88	42.91	17.62	7.18	25.49	19.2	23.57	89.02	43.34	51.17	16.32	65.18	12.49	53.84	29.55	38.36	14.32	28.15	16.55	49.88	31.38	43.85	11.14	48.37	11.77	43.41	47.43	42.4	17.9	39.7	14.22	27.63	30.79	32.24	13.74	14.2	43.03	26.51	22.86	23.64	7.86	50.85	24.06	27.57	26.58	6.24	18.14	7.88	18.12	19.07	31.25	7.36	8.12	55.89	45.55	35.31	12.3	32.31
44.13	32.33	24.75	28.19	27.21	18.07	34.32	22.52	44.94	11.56	28.4	29.4	42.87	30.64	48.76	50.08	42.18	17.07	6.9	24.96	19.15	22.8	88.82	42.42	50.23	16.73	66.36	12.55	53.17	28.93	39.56	14.29	27.64	16.28	49.87	30.68	45.02	10.65	48.12	11.66	45.18	47.43	41.87	17.53	39.21	13.9	27.61	30.39	31.91	13.46	14.08	44.76	27.22	22.27	23.94	8.18	48.94	23.37	27.13	26.1	6.25	18.15	7.5600000000000005	18.42	19.08	30.92	7.44	8.4	55.5	45.18	33.52	12.3	31.4
42.54	31.96	23.83	27.57	26.36	17.93	33.67	22.02	43.3	11.4	27.03	28.0	42.28	30.45	47.76	49.76	41.36	16.49	6.79	24.31	18.72	21.95	88.52	41.74	49.84	15.82	56.27	12.24	50.97	28.57	38.59	13.98	27.33	15.91	48.1	30.35	47.46	10.26	46.99	11.56	43.61	46.56	41.6	17.56	38.61	13.47	26.68	30.3	30.21	13.32	13.8	44.14	26.64	21.69	23.46	7.98	47.3	22.76	26.07	25.6	6.02	17.85	7.18	17.97	18.57	30.62	7.16	8.0	52.59	44.9	33.52	11.96	31.27
41.05	31.95	23.51	27.29	26.01	17.7	33.59	21.35	43.1	11.35	27.1	28.04	41.81	30.14	46.76	49.28	40.56	16.44	6.48	24.21	18.48	21.6	87.51	40.92	48.79	15.41	45.88	11.96	50.26	28.3	37.88	13.94	26.97	15.93	48.19	29.91	47.85	9.85	46.56	11.52	42.26	45.71	40.94	17.23	38.22	13.29	26.47	29.7	30.26	13.24	13.55	43.61	25.18	21.3	22.87	7.8	46.0	22.09	25.62	25.37	5.86	17.66	7.24	16.94	18.77	30.44	7.07	8.09	52.49	43.79	32.51	11.85	30.39
41.73	32.32	23.88	27.63	26.51	17.77	34.1	21.48	42.75	11.54	27.22	28.52	42.32	31.41	47.15	50.11	42.25	16.79	6.85	24.51	18.24	21.72	88.82	41.19	49.32	15.39	53.85	11.72	49.39	28.49	38.01	13.96	27.17	16.1	48.84	29.88	47.17	9.76	46.2	11.69	41.19	46.17	40.88	17.1	38.21	13.37	26.42	30.21	29.64	13.07	13.65	42.12	25.91	21.68	22.79	7.6899999999999995	45.98	22.71	25.4	25.63	5.75	17.55	7.16	17.57	18.92	30.49	6.9399999999999995	8.13	51.8	44.76	32.94	11.92	30.92
42.34	32.69	24.13	27.47	26.69	17.75	34.79	21.89	42.4	11.71	28.04	28.72	42.47	32.76	48.31	51.18	42.6	17.06	7.0	24.37	18.28	22.22	93.08	44.26	49.84	15.77	52.65	11.86	49.4	28.86	39.09	14.18	27.62	16.11	48.89	30.1	48.12	9.86	47.98	11.62	42.64	45.75	41.34	17.34	38.85	12.96	26.89	30.0	29.98	13.13	13.79	43.09	26.2	21.74	22.76	7.67	46.54	22.65	27.04	25.94	5.78	17.72	7.2	17.55	18.84	30.32	6.95	8.23	51.58	44.87	32.44	12.15	31.42
42.98	32.86	25.02	27.99	27.7	18.15	37.14	22.2	43.43	11.77	28.78	29.0	44.06	33.35	49.87	53.67	43.67	17.84	7.31	25.15	18.54	22.51	91.61	45.6	49.88	16.63	55.49	12.47	49.78	29.18	38.87	14.49	27.96	16.65	50.38	31.42	46.94	10.18	48.56	12.0	43.87	46.32	41.88	17.5	40.0	13.37	27.97	31.36	31.75	13.9	13.79	44.18	26.22	22.41	23.51	8.19	48.55	23.29	28.15	26.05	6.04	18.01	7.43	18.89	18.93	30.44	7.58	8.49	53.15	45.26	33.88	12.57	31.67
43.48	32.72	25.02	28.42	27.84	18.31	36.17	22.3	44.55	11.8	28.97	29.08	44.51	32.87	50.24	55.89	44.46	18.55	7.73	26.17	18.91	22.1	91.54	46.84	51.25	16.21	57.84	12.81	50.26	29.0	38.14	14.68	27.96	16.5	51.59	31.24	47.31	10.08	48.95	12.09	44.32	46.92	42.79	17.72	40.08	13.65	27.94	32.71	30.88	14.05	13.48	44.89	25.65	22.29	23.43	8.35	47.1	24.05	27.45	25.79	6.22	17.95	7.6899999999999995	18.9	19.56	30.63	7.83	8.49	53.07	45.55	33.32	12.4	32.55
42.64	32.31	24.83	28.13	27.55	17.98	36.49	22.57	43.98	11.67	28.5	29.14	44.94	33.02	50.03	56.81	44.33	18.42	7.79	25.58	19.39	22.76	89.71	46.64	51.88	16.39	58.06	12.6	50.54	28.98	38.41	14.59	27.91	16.55	52.08	31.66	47.04	10.07	48.65	12.14	44.49	47.28	42.1	17.77	39.53	13.78	28.24	31.57	31.4	14.04	13.8	45.2	26.46	22.24	23.43	8.34	47.14	24.65	27.28	25.99	6.13	17.71	7.53	19.09	19.61	30.89	7.75	8.1	53.7	45.59	32.76	12.53	32.3
42.46	31.69	25.12	27.67	27.69	18.12	35.76	21.99	43.16	11.49	28.3	28.62	44.47	32.09	49.45	57.2	44.01	18.45	7.5600000000000005	25.03	19.25	22.38	90.21	45.74	51.62	16.78	55.29	12.52	49.46	28.6	37.72	14.43	27.5	16.55	51.88	31.83	45.07	10.05	48.51	11.84	43.03	46.84	41.8	17.3	38.68	13.51	27.89	31.08	32.36	13.63	13.61	44.43	25.66	22.13	23.43	8.5	45.96	23.95	26.73	25.83	6.1	17.88	7.64	18.17	19.3	30.55	7.67	7.84	53.24	45.11	31.67	12.48	31.91
43.31	31.91	25.77	28.01	28.39	18.39	37.08	22.42	44.18	11.67	29.22	28.75	45.44	32.32	50.21	55.81	44.59	18.86	7.62	25.41	19.6	22.88	91.01	46.91	52.52	17.38	54.9	12.52	50.1	28.95	37.89	14.72	27.31	17.0	50.17	32.33	45.7	10.27	49.6	11.79	44.09	47.43	42.07	17.62	39.32	13.58	28.45	31.21	32.47	13.81	13.58	44.83	26.01	22.09	23.37	8.52	47.11	22.72	28.08	26.09	6.06	18.05	7.84	17.0	19.29	30.62	7.58	7.92	52.2	45.46	32.12	12.82	31.85
43.96	32.82	25.9	28.66	28.56	18.28	36.58	22.57	45.72	12.09	29.56	29.55	45.44	32.25	49.94	55.11	44.66	18.8	7.55	26.03	19.34	23.24	90.48	46.44	53.13	17.67	53.82	12.61	50.66	29.13	38.06	14.61	27.38	17.6	50.1	32.49	45.9	10.32	50.16	11.75	44.38	47.56	42.52	17.73	40.43	13.7	28.65	30.86	31.84	13.94	13.69	45.13	26.06	21.85	23.21	8.57	49.22	22.82	27.77	26.36	6.12	18.4	7.6899999999999995	17.24	19.35	30.32	7.63	7.96	51.8	45.9	34.13	12.78	31.56
44.54	33.92	26.02	29.86	28.75	18.31	35.88	22.63	47.58	12.45	29.38	29.67	45.37	32.39	49.67	54.24	44.26	18.57	7.38	27.05	19.25	23.32	90.32	45.94	52.18	17.81	52.14	12.38	50.17	29.05	37.38	14.62	27.51	16.85	49.09	32.08	44.91	10.39	50.63	11.6	43.41	47.74	41.86	17.56	41.4	13.6	28.45	30.52	31.64	13.76	13.58	44.21	25.61	21.54	23.24	8.57	49.35	22.34	27.82	26.09	6.09	18.01	7.6899999999999995	16.74	19.18	30.16	7.6	7.87	50.83	45.49	34.18	12.98	31.42
42.53	34.75	26.43	30.24	29.32	18.46	34.09	22.38	48.17	12.6	28.34	31.62	46.78	32.28	49.19	52.31	43.02	18.27	7.01	27.41	18.67	23.16	90.33	43.35	50.6	18.09	49.92	13.05	48.18	28.78	36.95	14.82	26.87	16.66	47.97	31.6	43.7	10.34	51.38	11.31	43.4	45.3	41.62	16.74	42.05	13.38	29.27	31.22	31.08	14.2	13.23	44.3	24.54	20.73	22.9	8.9	48.39	20.91	28.93	25.34	6.35	18.31	7.43	16.15	18.73	29.34	8.21	8.3	51.7	43.57	32.82	12.9	30.38
42.6	34.07	26.59	29.7	29.55	18.41	32.39	22.72	47.36	12.48	28.34	31.29	47.12	31.94	49.15	52.32	42.51	17.69	6.78	27.23	18.93	23.18	92.0	41.26	50.19	18.15	50.77	13.46	49.07	29.04	37.9	14.71	26.78	17.1	49.15	31.64	43.94	10.68	51.75	11.54	43.02	45.86	41.49	16.93	42.23	13.31	29.65	31.3	32.14	14.62	13.32	44.13	25.01	21.09	22.9	8.9	48.15	21.33	28.98	25.86	6.51	18.85	7.46	16.28	18.78	29.31	8.24	8.38	50.85	44.26	32.82	13.0	29.98
43.22	33.92	26.37	29.57	29.03	18.5	34.49	22.87	46.23	12.44	27.95	30.92	46.84	33.66	50.72	54.15	43.23	18.61	6.98	27.3	19.55	23.58	93.94	42.6	50.99	17.68	52.89	13.17	49.59	29.72	38.45	14.84	27.08	16.92	51.2	31.89	44.85	10.52	52.62	11.65	44.11	46.88	42.21	17.52	41.62	13.62	29.53	31.85	32.39	14.17	13.88	45.01	25.55	21.79	23.24	8.97	49.39	21.82	29.18	26.84	6.39	18.64	7.64	17.75	19.13	29.95	8.17	8.72	52.5	45.75	34.45	12.97	30.98
43.17	34.13	26.55	29.25	29.38	18.95	34.88	22.84	46.43	12.6	28.44	32.55	48.54	34.33	50.0	53.21	43.04	18.68	7.1	27.08	19.84	23.75	93.12	42.97	51.13	17.78	54.47	13.55	50.07	30.08	38.03	14.9	26.99	17.31	49.81	31.84	44.72	11.12	53.66	11.95	43.24	47.32	42.5	17.56	41.96	13.58	30.76	31.66	33.58	14.49	13.59	44.41	25.35	21.52	23.65	9.01	52.05	21.58	29.24	26.65	6.52	19.46	7.65	17.42	19.21	30.21	8.2	8.71	51.96	45.11	35.88	13.17	31.87
41.73	34.59	26.38	28.87	29.21	18.68	33.99	23.5	45.6	12.65	29.16	33.3	48.64	34.51	48.5	52.57	41.52	18.26	6.91	26.77	19.77	23.49	92.1	41.61	49.47	17.29	54.42	13.5	49.75	29.86	38.0	14.93	26.49	16.75	50.08	31.66	45.02	10.71	53.41	11.75	41.92	47.79	41.88	17.44	42.53	13.34	30.73	31.05	32.9	14.27	13.3	43.02	24.78	21.1	23.73	9.59	51.34	21.03	28.96	25.75	6.47	19.47	7.58	16.98	18.86	30.01	8.06	8.81	51.3	44.27	34.88	12.79	31.84
41.8	33.97	27.54	28.49	30.53	18.73	34.76	23.03	45.13	12.61	29.07	34.28	47.46	35.62	48.4	54.36	41.89	18.5	6.95	26.53	19.84	23.02	92.13	42.63	50.13	17.97	53.77	13.44	49.24	29.67	38.1	14.98	26.73	16.91	50.33	31.66	44.89	11.21	53.43	11.76	42.33	48.01	42.26	17.54	41.85	13.04	30.57	32.26	33.03	14.07	13.34	43.43	25.29	21.13	23.58	9.84	47.0	20.81	28.82	26.12	6.41	19.43	8.04	16.71	18.78	29.95	8.04	8.86	50.7	43.97	32.17	12.77	31.25
42.82	34.1	27.17	29.25	30.06	19.01	34.74	23.58	45.75	12.67	28.88	34.1	47.77	36.05	49.13	55.56	42.14	18.97	6.97	26.84	19.85	23.12	93.56	43.26	51.25	18.78	54.75	13.52	48.83	29.93	38.16	14.89	26.37	17.32	51.38	31.81	45.31	11.29	52.75	11.85	42.9	48.1	41.76	17.76	42.42	13.33	30.66	33.99	33.23	14.34	13.73	43.9	25.09	21.84	24.03	9.92	48.45	21.8	29.64	26.75	6.48	19.3	8.16	17.9	18.97	31.1	8.24	9.16	51.1	45.26	33.95	12.82	32.41
43.59	33.99	26.71	29.34	29.57	18.84	34.94	23.78	46.45	12.69	28.79	33.79	47.28	36.02	49.4	54.37	42.74	18.97	7.03	27.04	20.11	23.56	91.66	44.75	51.03	18.55	56.12	13.37	48.93	30.13	38.39	15.14	26.07	17.47	51.18	31.85	45.07	11.27	52.41	11.7	42.06	48.41	41.83	17.83	42.06	13.22	30.69	33.62	33.54	14.02	13.88	43.36	25.51	21.77	24.13	9.86	49.2	21.79	30.68	27.0	6.44	19.5	8.89	17.48	18.9	31.02	8.34	9.23	52.85	46.04	33.76	12.95	32.41
43.26	33.43	26.78	28.99	29.78	18.93	35.69	23.48	45.24	12.57	28.97	32.99	47.2	36.42	50.35	53.45	43.44	19.48	7.4	26.67	20.18	23.51	92.56	47.32	51.79	18.03	57.23	13.34	49.37	30.51	37.72	15.16	26.11	17.57	51.37	32.24	44.83	11.28	52.87	11.72	41.05	49.99	42.97	18.29	41.67	13.27	30.84	33.81	34.43	13.89	14.33	42.76	25.39	22.03	23.96	10.53	49.28	22.29	29.92	27.95	6.42	19.49	8.43	17.56	19.1	31.37	8.17	9.21	53.95	47.04	34.23	13.4	33.07
43.98	33.51	26.49	29.49	29.86	18.97	36.44	24.18	45.96	12.73	30.2	31.9	47.3	35.74	49.8	53.83	43.53	19.51	7.4	27.56	20.16	24.02	93.11	47.36	52.06	18.11	56.73	13.19	47.65	30.75	38.47	15.04	26.6	17.43	51.6	32.98	44.81	11.25	53.05	11.79	38.68	50.48	42.71	18.6	41.48	13.21	31.2	33.53	34.22	13.98	14.49	40.46	25.92	22.19	24.54	11.0	48.73	22.45	31.5	28.47	6.36	19.52	8.32	17.56	18.74	30.74	8.06	9.55	53.22	47.93	33.33	13.64	33.02
43.54	33.41	26.97	29.55	29.99	18.99	35.87	24.01	45.73	12.59	30.01	32.99	46.99	35.93	49.15	53.95	42.08	19.36	7.5600000000000005	27.34	20.02	23.92	93.29	47.13	51.56	18.02	56.28	13.15	47.72	30.65	38.75	14.98	26.5	17.36	53.02	32.51	43.94	11.42	51.71	11.67	39.26	49.87	42.49	18.75	41.32	13.13	30.71	33.73	34.55	14.15	14.45	40.78	25.91	21.38	24.9	11.04	48.13	22.46	31.93	28.47	6.37	19.12	8.54	17.37	18.81	30.42	8.06	9.58	51.25	47.36	32.7	13.7	33.17
42.99	33.06	26.76	29.18	29.61	18.93	36.65	23.7	44.34	12.55	32.14	32.41	45.84	36.29	49.2	52.67	41.29	19.63	7.47	27.04	19.96	23.59	95.88	49.18	51.54	17.68	56.19	12.89	47.52	30.6	39.84	14.82	26.31	16.84	52.08	32.23	43.39	11.64	52.32	11.54	38.15	49.71	42.54	18.9	41.4	12.99	30.08	33.29	34.7	13.59	14.58	39.97	25.92	21.26	24.92	11.34	47.28	22.25	31.28	28.34	6.23	18.46	8.51	17.04	18.55	30.39	7.83	9.9	51.07	46.87	32.52	13.4	32.43
42.99	33.44	26.83	29.36	29.65	19.17	36.6	24.05	44.05	12.63	32.45	33.4	46.75	35.48	49.23	53.02	42.27	19.85	7.64	27.3	19.64	23.66	95.4	47.34	51.81	17.77	56.59	13.05	46.85	30.87	40.5	14.91	26.23	17.22	52.08	32.37	44.67	11.29	53.13	11.67	38.34	48.98	41.87	18.62	41.87	12.85	30.64	33.25	34.4	13.82	14.47	39.85	27.02	21.19	24.7	11.25	48.5	21.88	31.46	28.21	6.26	18.62	8.33	16.71	18.61	30.28	7.98	9.96	50.9	46.55	33.62	13.63	31.96
43.73	34.41	27.18	29.79	29.89	19.1	36.45	24.05	44.22	12.9	32.06	33.34	46.75	35.23	49.83	53.02	42.02	19.83	7.86	27.53	19.66	23.6	95.56	47.62	51.99	18.07	57.88	13.07	47.55	31.51	39.92	14.84	26.77	16.95	52.83	32.63	45.16	11.39	53.83	11.88	38.49	49.4	41.76	18.88	42.34	13.04	30.65	33.49	34.84	13.63	14.52	40.16	26.48	21.42	24.89	10.94	49.87	22.46	31.54	28.47	6.24	18.22	8.26	16.9	18.78	30.71	7.97	9.95	52.22	47.13	34.35	13.7	32.36
43.35	34.26	27.14	29.77	29.96	19.03	36.68	23.94	43.86	12.87	31.72	33.75	46.56	34.73	49.94	53.42	41.82	19.7	7.87	27.5	19.68	23.91	95.77	48.66	52.48	18.2	57.52	12.97	47.1	31.65	38.7	14.76	26.61	17.16	53.08	32.63	46.23	11.29	52.41	11.72	38.77	48.8	41.81	19.08	43.12	13.04	30.75	33.9	34.91	13.37	14.36	40.3	27.23	21.24	25.09	10.99	49.62	22.49	31.79	28.35	6.21	18.13	7.89	16.91	18.6	30.87	7.93	9.94	54.74	46.48	32.12	14.15	33.46
42.62	33.78	27.03	29.27	29.7	18.83	36.92	24.04	44.0	12.67	32.05	33.65	46.64	33.74	50.23	54.07	43.05	19.77	7.92	27.0	19.8	24.5	95.43	48.19	52.46	18.26	57.81	13.1	48.22	31.09	38.2	15.0	26.73	17.51	53.73	32.56	46.73	11.17	52.09	11.71	38.74	49.35	42.23	18.99	42.65	13.25	31.01	34.07	35.41	13.22	14.41	40.18	27.9	21.04	25.79	11.02	49.71	22.96	31.63	28.62	6.22	17.91	7.96	16.93	19.08	31.09	7.74	9.79	55.85	47.07	32.42	14.1	34.2
42.76	33.01	27.0	28.87	29.53	18.89	37.33	24.04	43.48	12.45	32.21	33.65	46.6	33.63	50.25	53.34	42.06	19.53	7.8	26.77	19.6	24.5	95.55	48.44	51.49	19.02	57.07	13.03	48.37	30.54	37.99	14.77	26.26	17.26	53.08	32.26	46.67	11.1	52.49	11.58	37.92	48.71	42.28	19.23	42.46	13.41	30.59	33.7	34.6	13.21	14.21	39.64	27.8	20.63	25.48	11.65	48.94	23.14	30.85	27.88	6.2	17.84	7.82	17.23	18.83	31.02	7.67	9.95	56.2	46.5	31.91	13.95	33.4
42.1	32.11	26.22	27.76	28.47	18.45	36.38	23.65	42.0	12.16	30.79	32.78	44.06	33.08	48.28	53.32	40.44	19.23	7.47	25.74	19.3	23.87	94.82	47.95	50.21	19.08	55.57	12.54	47.64	29.82	37.54	14.47	25.68	17.07	52.38	31.66	45.46	10.79	51.6	11.33	36.23	48.02	41.49	19.01	41.17	13.03	29.09	33.14	33.32	12.76	13.89	38.34	27.6	20.39	24.27	11.66	47.91	22.29	29.9	27.16	5.96	17.47	7.47	17.08	18.54	30.39	7.41	10.33	54.98	45.92	31.11	13.66	32.76
42.59	32.12	26.24	27.83	28.68	18.18	37.18	23.5	43.81	12.02	31.18	32.33	44.39	33.5	48.55	54.31	40.85	19.0	7.8	25.77	19.45	24.25	95.18	47.94	50.14	18.76	53.47	12.72	49.05	29.67	36.51	14.44	26.07	17.25	53.88	32.06	45.39	10.9	51.99	11.35	36.85	48.12	41.83	19.74	41.78	12.89	29.75	32.2	33.8	13.07	14.08	38.73	27.34	20.19	24.41	11.62	49.89	23.31	29.77	27.39	6.02	17.95	7.78	17.3	18.61	30.82	7.41	10.38	54.91	46.14	32.82	13.85	32.9
43.52	32.27	26.01	28.12	28.42	18.79	38.65	23.43	44.11	12.03	30.84	32.83	45.51	34.43	48.73	56.31	41.53	19.59	7.89	25.87	19.81	24.49	101.09	48.83	51.08	18.42	51.1	12.97	49.14	29.72	37.38	14.53	26.18	17.24	53.88	32.44	45.87	11.09	52.49	11.38	37.48	49.24	41.87	19.57	41.96	12.91	30.82	32.88	34.4	13.29	14.16	39.19	27.45	20.46	24.41	11.87	50.95	23.96	29.86	27.91	6.11	17.72	7.67	17.52	18.75	31.22	7.52	10.67	55.68	46.76	33.18	13.83	34.18
42.0	31.67	25.68	27.94	27.97	18.46	38.27	22.67	42.37	11.71	30.38	32.25	44.97	33.07	48.17	55.96	40.91	19.37	7.83	25.48	19.29	23.89	101.72	48.7	50.22	18.05	49.98	12.72	47.12	28.85	36.74	14.35	25.73	16.8	54.19	32.32	46.13	10.79	50.41	11.2	34.52	48.92	40.84	19.34	41.01	12.74	30.39	31.84	33.33	12.98	13.81	36.6	26.64	19.97	23.63	11.84	50.59	23.39	28.8	26.95	5.95	17.34	7.6	16.95	18.18	31.06	7.34	10.55	54.53	45.84	32.51	13.37	33.98
42.3	31.54	25.53	27.91	27.8	18.19	37.94	22.63	41.6	11.67	29.96	31.64	44.27	32.34	48.19	56.08	40.67	19.07	7.72	25.58	19.04	23.86	99.61	47.51	50.42	18.18	50.97	12.49	47.91	28.62	37.21	14.07	25.73	16.97	53.93	32.43	45.54	10.39	51.52	11.31	34.71	48.18	40.59	19.31	40.95	12.77	30.06	32.09	32.73	12.42	13.8	36.13	27.09	19.18	23.48	11.47	50.2	23.3	27.99	26.94	5.82	17.01	7.46	16.7	18.48	30.83	7.28	10.38	53.85	45.75	32.22	13.41	33.49
42.88	32.04	26.02	28.71	28.49	18.26	39.58	22.69	42.76	11.85	28.78	32.23	44.61	31.76	48.7	56.27	40.8	19.57	7.59	26.6	19.27	23.95	101.05	49.32	50.61	19.01	51.66	12.47	48.73	29.11	36.6	14.18	25.85	17.05	54.47	32.6	46.43	10.54	52.7	11.4	34.29	48.66	40.41	19.34	42.3	12.76	30.11	32.52	33.47	12.42	14.16	36.21	27.78	19.2	23.64	11.49	49.5	23.16	28.47	27.42	5.8	17.1	7.61	17.11	18.36	30.91	7.23	10.3	53.8	46.05	33.22	13.5	33.3
